Title,Name,Speciality,Sub_speciality,Address,Price,Doctor_Rating,Views
Doctor,Tamer Yehia HCC,"Consultant orthopedic surgery and spine surgery , joints,  and shoulder and knee injuries sidelined hospitals
Police Authority","Orthopedist, Adult Orthopedics, Arthroscopy and Sports injuries, Bone Deformities, Foot and Ankle Orthopedics, Joint Replacement, Adult Rheumatology, Adult Orthopedic Surgery, Hand and Upper Limb Surgery, Microscopic Surgery, Adult Spine Surgery, Pediatric Spine Surgery, Pediatric Orthopedic Surgery, 0% of Back Pain patients are satisfied with the results",El-Mohandessin : shehab street . borg alzahraa,350,4.5,141016
Doctor,Yehia Nour,Consultant orthopedic and joint surgery.,"Orthopedist, Bone Deformities, Foot and Ankle Orthopedics, Joint Replacement, Adult Orthopedics, Hand and Upper Limb Surgery, Pediatric Orthopedics, Adult Orthopedic Surgery",micheel bakhoum,450,4.5,3984
Doctor,Omar Saeed,Orthopedic and Spine Specialist,"Orthopedist, Arthroscopy and Sports injuries, Adult Spine Surgery, Bone Deformities, Foot and Ankle Orthopedics, Joint Replacement, Adult Orthopedics, Osteopathic Medicine, Hand and Upper Limb Surgery, Microscopic Surgery, Pediatric Orthopedics, Adult Rheumatology, Pediatric Rheumatology, Pediatric Spine Surgery, Adult Orthopedic Surgery, Pediatric Orthopedic Surgery, 0% of Finger Numbness patients are satisfied with the results",El-Dokki,400,5.0,16299
Doctor,ahmed waheed abdelaal,"Consultant of orthopedics, spine, joint roughness and sports injuries - Ain Shams Medicine","Orthopedist, Arthroscopy and Sports injuries, Adult Spine Surgery, Bone Deformities, Foot and Ankle Orthopedics, Joint Replacement, Adult Orthopedics, Osteopathic Medicine, Hand and Upper Limb Surgery, Microscopic Surgery, Pediatric Orthopedics, Adult Rheumatology, Pediatric Rheumatology, Pediatric Spine Surgery, Adult Orthopedic Surgery, Pediatric Orthopedic Surgery",Gesr El Suez ,600,,113
Doctor,ali hussien khozama,"Consultant of orthopedics, joints, spine and sports injuries - Ain Shams Medicine","Orthopedist, Arthroscopy and Sports injuries, Adult Spine Surgery, Bone Deformities, Foot and Ankle Orthopedics, Joint Replacement, Adult Orthopedics, Osteopathic Medicine, Hand and Upper Limb Surgery, Microscopic Surgery, Pediatric Orthopedics, Adult Rheumatology, Pediatric Rheumatology, Pediatric Spine Surgery, Adult Orthopedic Surgery, Pediatric Orthopedic Surgery",Gesr El Suez ,600,,40
Doctor,Mohamed Abo El Magd,"Professor of bones, joints and spine surgery","Orthopedist, Adult Orthopedics",El-Dokki : Tahrir,500,4.0,13313
Doctor,Mohamed Abo El Magd,"Professor of bones, joints and spine surgery","Orthopedist, Adult Orthopedic Surgery, 0% of Knee Pain patients are satisfied with the results",El-Mohandessin : Abd El Moniem Riad,800,4.0,24160
Doctor,Wael Gaafar,Consultant of Orthopedics Surgery ,Orthopedist,Helwan : Zaki cross Ryath,250,4.5,20325
Doctor,Mostafa Khalil,Consultant of Orthopedic Surgery,"Orthopedist, Foot and Ankle Orthopedics, Adult Orthopedics, Osteopathic Medicine, Hand and Upper Limb Surgery, Pediatric Orthopedics, Adult Orthopedic Surgery, Adult Rheumatology, Pediatric Rheumatology, Pediatric Orthopedic Surgery, 0% of Hamstring Pain patients are satisfied with the results",Madinaty,600,4.5,6406
Doctor,Bahaa Aldine Saied Elkhodary,"Consultant Orthopedics and Stadium Injuries of Knee, Shoulder and Spine - Doctor of Orthopaedics, Faculty of Medicine, Kasr Al-Ain","Orthopedist, Arthroscopy and Sports injuries, Bone Deformities, Foot and Ankle Orthopedics, Joint Replacement, Adult Orthopedics, Hand and Upper Limb Surgery, Pediatric Orthopedics, Adult Orthopedic Surgery",El-Maadi,400,4.5,101127
Doctor,Hazem Hafez,Orthopedic Surgery Consultant.,"Orthopedist, Adult Orthopedics, Pediatric Orthopedics, Adult Orthopedic Surgery, Pediatric Orthopedic Surgery, Bone Deformities, Hand and Upper Limb Surgery, Foot and Ankle Orthopedics, Joint Replacement, Microscopic Surgery, Arthroscopy and Sports injuries, 98% of Thumb Injury patients are satisfied with the results",Janaklees : Alhourya Road,230,4.5,35990
Doctor,Tamer Batea,Consultant in orthopedics surgery ,"Orthopedist, Arthroscopy and Sports injuries, Foot and Ankle Orthopedics, Joint Replacement, Adult Orthopedics, Hand and Upper Limb Surgery, Adult Orthopedic Surgery, Pediatric Orthopedic Surgery, 0% of Septic Arthritis patients are satisfied with the results",Nasr City : Eltayaran street,300,5.0,16105
Doctor,Mahmoud Hussein,Consultant of orthopaedic surgery  Egyptian fellowship of orthopaedic surgery,"Orthopedist, Adult Orthopedics, Adult Orthopedic Surgery, Bone Deformities, Hand and Upper Limb Surgery, Foot and Ankle Orthopedics, Joint Replacement, Arthroscopy and Sports injuries, Adult Spine Surgery, Pediatric Orthopedics",6th of October : 71 fadan,250,4.5,22972
Doctor,Emad Tadrous,Specialist orthopedic surgeon,"Orthopedist, Adult Orthopedics, Pediatric Orthopedics, Adult Orthopedic Surgery, Pediatric Orthopedic Surgery, Bone Deformities, Hand and Upper Limb Surgery, Foot and Ankle Orthopedics, Joint Replacement, Microscopic Surgery, Osteopathic Medicine, Arthroscopy and Sports injuries, Adult Rheumatology, Pediatric Rheumatology, Adult Spine Surgery, Pediatric Spine Surgery, 0% of Osteomyelitis patients are satisfied with the results",Ain Shams,200,4.5,17844
Doctor,Mohamed Moneir,Consultant of Orthopedic Surgery,"Orthopedist, Pediatric Rheumatology, Adult Rheumatology, Arthroscopy and Sports injuries, Osteopathic Medicine, Joint Replacement, Foot and Ankle Orthopedics, Hand and Upper Limb Surgery, Bone Deformities, Pediatric Orthopedic Surgery, Adult Orthopedic Surgery, Pediatric Orthopedics, Adult Orthopedics, 0% of Back Pain patients are satisfied with the results",El-Haram,450,4.5,7778
Doctor,Ahmed Selim,Orthopedics Consultant ,"Orthopedist, Adult Orthopedic Surgery",Hadayek El-Kobba : misr and sudan ,350,4.5,25262
